label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
iText-1a,iText,1a, 1.517960246E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517960366E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517960067E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517959906E12,876.64,873.78,2.86,0.00,359359,242250,1024.00
iText-1a,iText,1a, 1.517960006E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1b,iText,1b, 1.517960427E12,875.02,872.11,2.91,0.00,369892,252686,1024.00
iText-1a,iText,1a, 1.517960167E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517959847E12,877.62,874.76,2.86,0.00,359355,241994,1024.00
iText-1a,iText,1a, 1.517960206E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517960387E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1b,iText,1b, 1.517960467E12,908.39,905.34,3.05,0.00,394808,269060,1024.00
iText-1b,iText,1b, 1.517960447E12,875.90,873.04,2.86,0.00,377615,260183,1024.00
iText-1a,iText,1a, 1.517960287E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517960146E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1a,iText,1a, 1.517960107E12,876.72,873.86,2.86,0.00,359381,242250,1024.00
iText-1b,iText,1b, 1.517960407E12,880.30,877.44,2.86,0.00,362147,244101,1024.00
iText-1a,iText,1a, 1.517959807E12,877.60,874.74,2.86,0.00,359349,241994,1024.00
iText-1b,iText,1b, 1.517960487E12,922.08,919.22,2.86,0.00,403859,275117,1024.00
iText-1b,iText,1b, 1.517960507E12,923.49,920.40,3.09,0.00,412544,283441,1024.00
iText-1b,iText,1b, 1.517960527E12,925.49,922.47,3.02,0.00,419603,290499,1024.00
iText-1b,iText,1b, 1.517960547E12,924.83,921.97,2.86,0.00,425841,296906,1024.00
iText-1b,iText,1b, 1.517960568E12,936.39,933.38,3.02,0.00,436982,305087,1024.00
iText-1b,iText,1b, 1.517960587E12,928.41,925.31,3.11,0.00,441766,311913,1024.00
iText-1b,iText,1b, 1.517960607E12,931.19,928.15,3.04,0.00,448870,318307,1024.00
iText-1b,iText,1b, 1.517960627E12,931.38,928.29,3.08,0.00,456688,327099,1024.00
iText-1b,iText,1b, 1.517960647E12,930.90,927.94,2.96,0.00,460636,331169,1024.00
iText-1b,iText,1b, 1.517960668E12,931.74,928.55,3.18,0.00,463835,334153,1024.00
iText-1b,iText,1b, 1.517960687E12,932.05,929.00,3.05,0.00,467247,337486,1024.00
iText-1b,iText,1b, 1.517960708E12,932.39,929.32,3.07,0.00,469652,339802,1024.00
iText-1b,iText,1b, 1.517960727E12,933.79,930.70,3.09,0.00,474252,344045,1024.00
iText-1b,iText,1b, 1.517960747E12,933.41,930.34,3.07,0.00,480404,350295,1024.00
iText-1b,iText,1b, 1.517960767E12,933.64,930.60,3.04,0.00,484612,354443,1024.00
iText-1b,iText,1b, 1.517960787E12,932.70,929.61,3.09,0.00,490637,360710,1024.00
iText-1b,iText,1b, 1.517960807E12,932.68,929.65,3.04,0.00,493275,363351,1024.00
iText-1b,iText,1b, 1.517960827E12,932.60,929.73,2.87,0.00,497779,367876,1024.00
iText-1b,iText,1b, 1.517960848E12,933.72,930.45,3.28,0.00,505213,375023,1024.00
iText-1b,iText,1b, 1.517960867E12,942.62,939.62,3.00,0.00,511515,379048,1024.00
iText-1b,iText,1b, 1.517960887E12,935.73,932.66,3.07,0.00,516943,386240,1024.00
iText-1b,iText,1b, 1.517960907E12,933.20,930.18,3.02,0.00,523283,393228,1024.00
iText-1b,iText,1b, 1.517960927E12,941.84,938.74,3.10,0.00,531026,398759,1024.00
iText-1b,iText,1b, 1.517960947E12,931.93,929.02,2.91,0.00,536986,407256,1024.00
iText-1b,iText,1b, 1.517960967E12,937.21,934.07,3.14,0.00,547321,416238,1024.00
iText-1b,iText,1b, 1.517960986E12,939.95,937.09,2.86,0.00,554938,424177,1024.00
iText-1b,iText,1b, 1.517961007E12,937.95,935.09,2.86,0.00,559299,429049,1024.00
iText-1b,iText,1b, 1.517961027E12,937.95,935.09,2.86,0.00,559299,429049,1024.00
iText-1b,iText,1b, 1.517961047E12,937.95,935.09,2.86,0.00,559299,429049,1024.00
iText-1b,iText,1b, 1.517961067E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961086E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961107E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961127E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961146E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961166E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961186E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961207E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961227E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961247E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961267E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961288E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961307E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961326E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961347E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961367E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961387E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961407E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961428E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961447E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961466E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961486E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961507E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961527E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961546E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961566E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1b,iText,1b, 1.517961586E12,937.07,934.21,2.86,0.00,559299,429275,1024.00
iText-1c,iText,1c, 1.517961607E12,943.46,940.54,2.92,0.00,561818,430668,1024.00
iText-1c,iText,1c, 1.517961627E12,929.89,927.04,2.86,0.00,566536,437837,1024.00
iText-1c,iText,1c, 1.517961647E12,958.85,955.99,2.86,0.00,575164,445185,1024.00
iText-1c,iText,1c, 1.517961667E12,957.76,954.77,2.98,0.00,582210,451999,1024.00
iText-1c,iText,1c, 1.517961688E12,952.19,949.30,2.88,0.00,593538,464753,1024.00
iText-1c,iText,1c, 1.517961708E12,956.41,953.48,2.93,0.00,598099,468745,1024.00
iText-1c,iText,1c, 1.517961727E12,956.95,954.01,2.94,0.00,602737,473244,1024.00
iText-1c,iText,1c, 1.517961747E12,952.23,949.34,2.88,0.00,609782,482009,1024.00
iText-1c,iText,1c, 1.517961767E12,952.86,949.45,3.41,0.00,614301,486367,1024.00
iText-1c,iText,1c, 1.517961787E12,950.65,947.74,2.91,0.00,617663,490294,1024.00
iText-1c,iText,1c, 1.517961807E12,949.25,946.28,2.98,0.00,623983,496971,1024.00
iText-1c,iText,1c, 1.517961827E12,958.82,955.85,2.97,0.00,633484,505556,1024.00
iText-1c,iText,1c, 1.517961848E12,949.89,946.91,2.98,0.00,640614,513951,1024.00
iText-1c,iText,1c, 1.517961867E12,950.90,948.01,2.89,0.00,646517,519595,1024.00
iText-1c,iText,1c, 1.517961887E12,953.45,950.49,2.96,0.00,654013,526948,1024.00
iText-1c,iText,1c, 1.517961907E12,952.40,949.52,2.88,0.00,661523,534728,1024.00
iText-1c,iText,1c, 1.517961927E12,954.92,952.02,2.91,0.00,668859,541929,1024.00
iText-1c,iText,1c, 1.517961947E12,955.64,952.67,2.97,0.00,676218,549615,1024.00
iText-1c,iText,1c, 1.517961967E12,956.19,953.28,2.91,0.00,683933,558212,1024.00
iText-1c,iText,1c, 1.517961987E12,956.16,953.28,2.88,0.00,690789,565585,1024.00
